iter	Passed	Remaining
0	13	13336
1	18	9167
2	23	7767
3	31	7962
4	42	8513
5	48	7985
6	54	7663
7	58	7276
8	62	6919
9	67	6719
10	72	6526
11	76	6331
12	81	6170
13	87	6130
14	91	6033
15	96	5917
16	100	5833
17	106	5793
18	113	5861
19	118	5797
20	123	5770
21	129	5758
22	137	5823
23	144	5861
24	148	5774
25	152	5716
26	156	5625
27	160	5569
28	167	5602
29	172	5573
30	173	5431
31	177	5364
32	182	5361
33	186	5306
34	193	5342
35	202	5416
36	205	5355
37	209	5295
38	212	5243
39	219	5256
40	222	5205
41	227	5188
42	236	5274
43	240	5220
44	245	5208
45	250	5198
46	261	5299
47	271	5375
48	278	5405
49	286	5449
50	295	5496
51	303	5537
52	307	5497
53	311	5460
54	315	5422
55	319	5379
56	322	5335
57	328	5328
58	337	5385
59	341	5347
60	345	5321
61	349	5285
62	352	5243
63	355	5202
64	359	5166
65	365	5168
66	368	5133
67	371	5095
68	375	5066
69	377	5011
70	380	4983
71	384	4954
72	387	4920
73	390	4888
74	394	4868
75	398	4841
76	401	4811
77	404	4781
78	407	4751
79	411	4735
80	417	4737
81	420	4707
82	424	4685
83	427	4666
84	432	4652
85	436	4636
86	442	4642
87	445	4622
88	450	4612
89	453	4588
90	459	4588
91	462	4568
92	466	4554
93	470	4535
94	475	4534
95	478	4509
96	481	4487
97	484	4460
98	487	4440
99	492	4432
100	496	4418
101	500	4402
102	505	4399
103	509	4391
104	514	4383
105	518	4374
106	525	4383
107	528	4365
108	533	4362
109	537	4349
110	542	4347
111	546	4334
112	549	4315
113	556	4326
114	560	4311
115	563	4295
116	566	4279
117	572	4281
118	578	4285
119	582	4268
120	586	4263
121	590	4249
122	594	4239
123	597	4223
124	601	4209
125	605	4197
126	610	4194
127	614	4186
128	618	4177
129	622	4168
130	627	4164
131	631	4150
132	636	4152
133	641	4145
134	644	4131
135	648	4118
136	653	4118
137	657	4104
138	660	4090
139	663	4077
140	669	4078
141	672	4065
142	676	4052
143	679	4038
144	684	4035
145	687	4024
146	691	4011
147	692	3988
148	696	3975
149	703	3986
150	706	3974
151	717	4002
152	721	3995
153	727	3994
154	732	3992
155	736	3985
156	741	3981
157	746	3977
158	755	3995
159	758	3982
160	763	3980
161	768	3973
162	776	3985
163	781	3985
164	786	3977
165	789	3967
166	798	3982
167	801	3968
168	805	3959
169	808	3945
170	815	3952
171	820	3950
172	823	3936
173	828	3932
174	833	3927
175	838	3924
176	845	3931
177	850	3925
178	856	3926
179	861	3922
180	865	3914
181	868	3903
182	872	3894
183	875	3884
184	879	3875
185	883	3865
186	886	3852
187	889	3840
188	892	3829
189	896	3820
190	899	3809
191	902	3798
192	905	3787
193	910	3782
194	913	3772
195	917	3762
196	920	3751
197	923	3741
198	927	3731
199	931	3724
200	934	3713
201	937	3704
202	943	3703
203	947	3696
204	950	3687
205	954	3678
206	958	3673
207	963	3667
208	966	3659
209	970	3650
210	974	3644
211	979	3640
212	983	3632
213	986	3624
214	991	3618
215	994	3611
216	998	3604
217	1002	3596
218	1006	3590
219	1010	3583
220	1014	3575
221	1017	3566
222	1025	3573
223	1031	3575
224	1042	3589
225	1046	3582
226	1049	3574
227	1064	3605
228	1078	3630
229	1092	3658
230	1099	3661
231	1113	3685
232	1126	3707
233	1130	3700
234	1137	3703
235	1143	3701
236	1147	3693
237	1160	3716
238	1169	3722
239	1173	3716
240	1178	3712
241	1184	3709
242	1193	3718
243	1198	3712
244	1205	3714
245	1208	3704
246	1211	3693
247	1216	3688
248	1221	3683
249	1226	3678
250	1229	3669
251	1235	3668
252	1239	3659
253	1242	3650
254	1247	3645
255	1251	3637
256	1255	3628
257	1264	3635
258	1272	3640
259	1277	3636
260	1286	3642
261	1292	3641
262	1298	3639
263	1304	3637
264	1308	3628
265	1317	3634
266	1322	3631
267	1327	3626
268	1334	3625
269	1338	3619
270	1342	3611
271	1346	3604
272	1350	3596
273	1354	3588
274	1357	3580
275	1363	3576
276	1368	3571
277	1372	3563
278	1376	3557
279	1380	3550
280	1384	3541
281	1388	3534
282	1392	3529
283	1397	3524
284	1401	3515
285	1405	3508
286	1409	3502
287	1414	3498
288	1419	3491
289	1422	3483
290	1431	3486
291	1436	3482
292	1444	3485
293	1450	3482
294	1454	3475
295	1461	3476
296	1466	3470
297	1469	3461
298	1475	3459
299	1479	3451
300	1482	3443
301	1486	3435
302	1494	3437
303	1500	3435
304	1505	3430
305	1511	3427
306	1514	3419
307	1518	3411
308	1523	3407
309	1528	3401
310	1534	3400
311	1539	3394
312	1544	3389
