iter	Passed	Remaining
0	49	49108
1	52	26004
2	55	18427
3	61	15404
4	64	12909
5	67	11257
6	71	10080
7	77	9669
8	81	8995
9	85	8445
10	91	8206
11	94	7780
12	99	7560
13	106	7490
14	110	7246
15	113	7000
16	121	7018
17	125	6845
18	130	6713
19	140	6888
20	146	6823
21	155	6904
22	162	6884
23	171	6966
24	176	6875
25	182	6826
26	190	6874
27	195	6778
28	203	6812
29	208	6736
30	209	6553
31	213	6469
32	218	6412
33	222	6322
34	227	6259
35	232	6219
36	235	6138
37	239	6070
38	243	5996
39	250	6022
40	256	5999
41	261	5956
42	270	6014
43	274	5967
44	280	5949
45	285	5926
46	290	5886
47	294	5835
48	302	5865
49	305	5813
50	312	5806
51	317	5788
52	342	6116
53	362	6354
54	390	6707
55	404	6821
56	502	8318
57	597	9702
58	621	9913
59	698	10950
60	750	11557
61	809	12239
62	815	12130
63	853	12484
64	888	12787
65	934	13221
66	948	13213
67	957	13128
68	964	13008
69	969	12881
70	978	12807
71	983	12680
72	991	12585
73	996	12464
74	1000	12337
75	1008	12264
76	1015	12174
77	1024	12109
78	1030	12016
79	1042	11983
80	1047	11889
81	1055	11812
82	1062	11743
83	1068	11655
84	1076	11590
85	1083	11515
86	1095	11493
87	1108	11491
88	1117	11441
89	1126	11386
90	1135	11345
91	1142	11278
92	1151	11228
93	1155	11135
94	1160	11052
95	1167	10993
96	1173	10928
97	1181	10873
98	1188	10814
99	1192	10728
100	1202	10707
101	1207	10630
102	1216	10590
103	1221	10523
104	1232	10506
105	1246	10514
106	1251	10445
107	1263	10435
108	1272	10398
109	1281	10367
110	1298	10398
111	1313	10417
112	1318	10347
113	1332	10354
114	1350	10395
115	1355	10331
116	1365	10307
117	1369	10238
118	1378	10206
119	1386	10170
120	1394	10131
121	1399	10069
122	1409	10051
123	1417	10012
124	1425	9980
125	1430	9921
126	1438	9886
127	1444	9840
128	1448	9782
129	1456	9748
130	1462	9703
131	1469	9664
132	1477	9632
133	1481	9573
134	1491	9557
135	1498	9517
136	1506	9488
137	1510	9438
138	1517	9401
139	1524	9362
140	1528	9311
141	1543	9328
142	1550	9290
143	1558	9267
144	1562	9212
145	1570	9187
146	1575	9141
147	1579	9094
148	1588	9072
149	1595	9043
150	1605	9028
151	1611	8992
152	1626	9002
153	1633	8975
154	1642	8952
155	1651	8936
156	1655	8889
157	1658	8840
158	1667	8821
159	1671	8777
160	1675	8731
161	1686	8724
162	1691	8685
163	1698	8659
164	1703	8618
165	1708	8581
166	1718	8570
167	1722	8529
168	1727	8494
169	1733	8464
170	1737	8420
171	1742	8388
172	1747	8355
173	1751	8315
174	1755	8274
175	1758	8233
176	1767	8220
177	1772	8186
178	1776	8148
179	1781	8117
180	1787	8089
181	1791	8050
182	1799	8034
183	1804	8000
184	1811	7982
185	1815	7946
186	1819	7909
187	1824	7880
188	1829	7848
189	1832	7814
190	1837	7781
191	1841	7749
192	1845	7716
193	1849	7683
194	1853	7651
195	1861	7636
196	1869	7618
197	1883	7627
198	1886	7593
199	1894	7577
200	1898	7546
201	1901	7513
202	1906	7486
203	1914	7469
204	1917	7437
205	1926	7424
206	1930	7395
207	1933	7362
208	1942	7350
209	1947	7325
210	1951	7298
211	1960	7285
212	1964	7256
213	1970	7237
214	1981	7235
215	1985	7205
216	1994	7197
217	1998	7168
218	2002	7139
219	2011	7130
220	2016	7108
221	2024	7094
222	2030	7074
223	2037	7057
224	2044	7040
225	2053	7032
226	2060	7016
227	2066	6998
228	2071	6975
229	2076	6950
230	2081	6928
231	2087	6909
232	2093	6890
233	2096	6862
234	2103	6847
235	2108	6825
236	2112	6801
237	2119	6786
238	2124	6763
239	2129	6742
240	2138	6736
241	2144	6716
242	2147	6690
243	2163	6704
244	2174	6700
245	2179	6680
246	2186	6666
247	2191	6645
248	2196	6624
249	2205	6616
250	2209	6593
251	2213	6569
252	2220	6556
253	2225	6535
254	2228	6509
255	2236	6500
256	2240	6478
257	2243	6453
258	2251	6442
259	2255	6419
260	2258	6395
261	2262	6371
262	2268	6357
263	2272	6334
264	2275	6311
265	2281	6296
266	2285	6274
267	2289	6252
