iter	Logloss
0	0.6551512965
1	0.6211454603
2	0.5907052005
3	0.5623026247
4	0.5382998431
5	0.516263326
6	0.4964480577
7	0.4786054823
8	0.4624955213
9	0.4479298415
10	0.4347337793
11	0.422745528
12	0.4118331273
13	0.4018765202
14	0.3927772663
15	0.3844465326
16	0.3767949563
17	0.3697565573
18	0.3632684284
19	0.3572727133
20	0.351724448
21	0.3465812824
22	0.3418094141
23	0.3373731684
24	0.3332402265
25	0.3293804593
26	0.3257724267
27	0.322398327
28	0.3192372499
29	0.3162656007
30	0.3134715116
31	0.3108397237
32	0.3083618659
33	0.3060245867
34	0.3038135811
35	0.3017229857
36	0.2997438643
37	0.297865797
38	0.2960822847
39	0.2943861396
40	0.2927729995
41	0.2912365949
42	0.2897741706
43	0.2883793866
44	0.2870454788
45	0.2857698158
46	0.2845504549
47	0.2833853298
48	0.2822690893
49	0.2811986605
50	0.2801727895
51	0.2791876263
52	0.2782412988
53	0.2773280497
54	0.2764483911
55	0.2756033474
56	0.2747926712
57	0.2740113294
58	0.2732573085
59	0.2725311562
60	0.2718282982
61	0.2711507303
62	0.2704932778
63	0.2698578305
64	0.2692416156
65	0.2686468407
66	0.2680702386
67	0.2675111912
68	0.2669693982
69	0.2664449127
70	0.2659373107
71	0.2654436253
72	0.2649640154
73	0.2644989932
74	0.2640471635
75	0.2636091797
76	0.2631438397
77	0.2626975024
78	0.2622948223
79	0.26190318
80	0.2615219399
81	0.2611512078
82	0.2607381609
