iter	Passed	Remaining
0	49	49182
1	52	26198
2	55	18387
3	58	14660
4	62	12435
5	65	10918
6	68	9723
7	71	8876
8	74	8256
9	79	7913
10	83	7528
11	86	7128
12	89	6796
13	92	6538
14	99	6509
15	103	6393
16	111	6431
17	115	6278
18	118	6099
19	122	5989
20	128	6012
21	134	5985
22	140	5972
23	143	5848
24	146	5723
25	149	5607
26	152	5493
27	155	5393
28	158	5304
29	161	5224
30	164	5142
31	166	5050
32	170	4994
33	173	4934
34	176	4871
35	179	4808
36	182	4755
37	185	4699
38	188	4656
39	192	4612
40	195	4562
41	197	4509
42	200	4462
43	204	4442
44	207	4406
45	210	4367
46	213	4324
47	216	4284
48	222	4311
49	225	4276
50	228	4242
51	230	4206
52	233	4174
53	237	4159
54	240	4130
55	243	4100
56	246	4069
57	248	4040
58	253	4037
59	256	4019
60	259	3990
61	261	3961
62	264	3934
63	267	3915
64	271	3901
65	274	3879
66	276	3854
67	279	3830
68	282	3815
69	285	3796
70	289	3783
71	291	3762
72	294	3742
73	297	3726
74	300	3709
75	303	3691
76	306	3675
77	309	3655
78	311	3636
79	314	3622
80	318	3608
81	320	3591
82	323	3574
